objectid;área;nome;regiao_adm;area_plane;codbairro;codra;codbnum;link;rp;cod_rp;codbairro_;st_areasha;st_perimet;area_km2
378;4865791,842773440293968;Padre Miguel;BANGU;5;140;17;140;Padre Miguel              &area=140;Bangu;5.1;140;4865804,920190045610070;16274,210279844943216;4,865804920190000
379;3037846,626953130122274;Bento Ribeiro;MADUREIRA;3;089;15;89;Bento Ribeiro             &area=89;Madureira;3.3;89;3037854,785675772931427;8506,047324398712590;3,037854785680000
380;1255809,621093750000000;Turiaçú;MADUREIRA;3;085;15;85;Turiaçú                   &area=85;Madureira;3.3;85;1255813,021989419590682;5378,199978146112699;1,255813021990000
381;2199716,170898439828306;Bonsucesso;RAMOS;3;040;10;40;Bonsucesso                &area=40;Ramos;3.1;40;2199722,082377384882420;8559,006177128741911;2,199722082380000
382;3485274,299316409975290;Inhaúma;INHAUMA;3;054;12;54;Inhaúma                   &area=54;Inhaúma;3.4;54;3485283,658373989164829;13164,813216707763786;3,485283658370000
383;1747526,485839839791879;Tomás Coelho;INHAUMA;3;056;12;56;Tomás Coelho              &area=56;Inhaúma;3.4;56;1747531,193763358984143;8403,849173148055343;1,747531193760000
384;8319614,027343750000000;Santíssimo;CAMPO GRANDE;5;143;18;143;Santíssimo                &area=143;Campo Grande;5.2;143;8319636,334554502740502;15804,040719539249039;8,319636334549999
385;3787613,321289060171694;Madureira;MADUREIRA;3;083;15;83;Madureira                 &area=83;Madureira;3.3;83;3787623,426446880213916;9574,374845368376555;3,787623426450000
386;2071126,778808590024710;Osvaldo Cruz;MADUREIRA;3;088;15;88;Osvaldo Cruz              &area=88;Madureira;3.3;88;2071132,374895323300734;6942,748608461929507;2,071132374900000
387;125044295,352050781250000;Santa Cruz;SANTA CRUZ;5;149;19;149;Santa Cruz                &area=149;Santa Cruz;5.3;149;125044629,037668138742447;65717,479341021258733;125,044629037999997
388;1975949,310546879889444;Magalhães Bastos;REALENGO;5;138;33;138;Magalhães Bastos          &area=138;Bangu;5.1;138;1975954,601386444410309;6902,663944455700403;1,975954601390000
389;16908604,956542972475290;Senador Camará;BANGU;5;142;17;142;Senador Camará            &area=142;Bangu;5.1;142;16908650,151341699063778;25798,241536518286011;16,908650151300002
390;1924149,284667969914153;Cavalcanti;MADUREIRA;3;080;15;80;Cavalcanti                &area=80;Madureira;3.3;80;1924154,412826714105904;6248,045267211807186;1,924154412830000
391;3252292,928710939828306;Campo dos Afonsos;REALENGO;5;136;33;136;Campo dos Afonsos         &area=136;Bangu;5.1;136;3252301,636750268749893;8075,662166883380451;3,252301636750000
